Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,97-128,33-64,108,111,56,#6c6f38,19557,1394784,1.4
2021-10-07,PIPO14,Ambient,Drought,65-96,65-96,65-96,83,86,73,#535649,17375,1236586,1.4
2021-10-07,PIPO34,Ambient+HW,Drought,33-64,33-64,33-64,51,53,41,#333529,27600,1994597,1.4
2021-10-07,PIPO44,Ambient,Drought,129-160,97-128,65-96,142,116,80,#8e7450,15167,1111401,1.4
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,129-160,129-160,147,150,137,#939689,17983,1394784,1.3
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,65-96,65-96,85,85,73,#555549,18614,1394784,1.3
2021-10-07,PIPO14,Ambient,Drought,161-192,129-160,97-128,173,150,111,#ad966f,15792,1236586,1.3
2021-10-07,PIPO23,Ambient+HW,Drought,97-128,97-128,33-64,110,110,55,#6e6e37,24026,1906687,1.3
2021-10-07,PIPO45,Ambient,Drought,129-160,129-160,129-160,148,150,136,#949688,14464,1154285,1.3
2021-10-07,PIPO45,Ambient,Drought,97-128,65-96,33-64,109,84,48,#6d5430,15464,1154285,1.3
2021-10-07,PIPO49,Ambient,Drought,129-160,97-128,65-96,140,116,81,#8c7451,11106,852652,1.3
2021-10-07,PIPO14,Ambient,Drought,129-160,161-192,97-128,147,168,115,#93a873,14338,1236586,1.2
2021-10-07,PIPO14,Ambient,Drought,33-64,33-64,33-64,50,54,41,#323629,14744,1236586,1.2
2021-10-07,PIPO14,Ambient,Drought,65-96,33-64,1-32,77,52,18,#4d3412,14507,1236586,1.2
2021-10-07,PIPO23,Ambient+HW,Drought,129-160,161-192,129-160,151,174,140,#97ae8c,23801,1906687,1.2
2021-10-07,PIPO29,Ambient+HW,Drought,129-160,161-192,65-96,142,169,87,#8ea957,14583,1197341,1.2
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,97-128,97-128,117,118,105,#757669,14139,1197341,1.2
2021-10-07,PIPO34,Ambient+HW,Drought,97-128,97-128,33-64,107,110,57,#6b6e39,24312,1994597,1.2
2021-10-07,PIPO39,Ambient,Drought,129-160,129-160,129-160,146,150,137,#929689,11562,993086,1.2
2021-10-07,PIPO39,Ambient,Drought,97-128,97-128,33-64,108,110,56,#6c6e38,11768,993086,1.2
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,129-160,65-96,140,143,87,#8c8f57,15045,1394784,1.1
2021-10-07,PIPO23,Ambient+HW,Drought,97-128,65-96,33-64,109,84,48,#6d5430,21050,1906687,1.1
2021-10-07,PIPO29,Ambient+HW,Drought,161-192,161-192,97-128,172,175,117,#acaf75,13559,1197341,1.1
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,97-128,1-32,78,107,25,#4e6b19,13448,1197341,1.1
2021-10-07,PIPO44,Ambient,Drought,161-192,129-160,97-128,172,148,112,#ac9470,12440,1111401,1.1
2021-10-07,PIPO44,Ambient,Drought,97-128,65-96,33-64,109,84,50,#6d5432,12303,1111401,1.1
2021-10-07,PIPO49,Ambient,Drought,129-160,129-160,129-160,147,150,137,#939689,9722,852652,1.1
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,161-192,129-160,154,172,139,#9aac8b,13831,1394784,1
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,65-96,33-64,107,85,51,#6b5533,14306,1394784,1
2021-10-07,PIPO14,Ambient,Drought,129-160,161-192,129-160,151,172,141,#97ac8d,11761,1236586,1
2021-10-07,PIPO14,Ambient,Drought,161-192,161-192,97-128,175,170,116,#afaa74,12158,1236586,1
2021-10-07,PIPO23,Ambient+HW,Drought,129-160,97-128,65-96,141,116,80,#8d7450,19749,1906687,1
2021-10-07,PIPO29,Ambient+HW,Drought,129-160,129-160,129-160,147,150,137,#939689,11490,1197341,1
2021-10-07,PIPO34,Ambient+HW,Drought,129-160,129-160,129-160,146,150,137,#929689,19938,1994597,1
2021-10-07,PIPO34,Ambient+HW,Drought,129-160,161-192,129-160,152,172,139,#98ac8b,19371,1994597,1
2021-10-07,PIPO39,Ambient,Drought,129-160,97-128,65-96,140,116,82,#8c7452,9872,993086,1
2021-10-07,PIPO44,Ambient,Drought,129-160,129-160,129-160,147,150,137,#939689,10649,1111401,1
2021-10-07,PIPO45,Ambient,Drought,33-64,33-64,33-64,51,54,41,#333629,11264,1154285,1
2021-10-07,PIPO49,Ambient,Drought,129-160,129-160,65-96,139,143,86,#8b8f56,8831,852652,1
2021-10-07,PIPO10,Ambient+HW,Drought,33-64,33-64,33-64,52,53,41,#343529,12543,1394784,0.9
2021-10-07,PIPO29,Ambient+HW,Drought,129-160,161-192,129-160,154,172,139,#9aac8b,11154,1197341,0.9
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,65-96,1-32,75,79,26,#4b4f1a,11426,1394784,0.8
2021-10-07,PIPO23,Ambient+HW,Drought,129-160,129-160,129-160,146,150,136,#929688,16003,1906687,0.8
2021-10-07,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,174,178,144,#aeb290,15861,1906687,0.8
